product_name,current_price,recommended_price,action,current_demand,predicted_demand,current_profit,expected_profit,profit_change,improvement_pct
Bluetooth Speaker,1781,1602.9,Decrease 10%,46.383714631739295,50.93829895120497,29731.96107894489,23579.338584512785,-6152.622494432104,-20.69363160437194
Gaming Mouse,1183,1242.15,Increase 5%,78.3289151130775,69.69625500706918,31566.552790570233,32210.12425151703,643.5714609467977,2.038776502510751
Power Bank,1577,1419.3,Decrease 10%,56.46636570711598,68.01727116824465,38227.72958371752,35321.36891766944,-2906.36066604808,-7.602755114407833
Webcam HD,1929,2025.45,Increase 5%,40.23468077414337,27.31310429800393,29331.082284350516,22545.601942787343,-6785.480341563172,-23.134094663746993
Power Bank,1553,1630.65,Increase 5%,31.608994072797863,23.299269266758404,20640.673129537005,17023.61108975703,-3617.0620397799757,-17.52395388018584
Power Bank,1453,1380.35,Decrease 5%,31.75964518646671,39.54118933728543,17563.08378811609,18993.610298165055,1430.5265100489632,8.145075929187998
Webcam HD,1877,1689.3,Decrease 10%,50.233626620141294,73.30263915917158,34008.165221835654,35866.98134058265,1858.816118746996,5.465793601689232
Smart Watch,4563,4791.150000000001,Increase 5%,57.41185431703552,45.77618046115278,89734.72829752651,81992.00563299382,-7742.722664532688,-8.628457244402346
Wireless Headphones,2396,2515.8,Increase 5%,57.973655777289935,46.56469454162437,51944.39557645178,47300.416715382045,-4643.978861069736,-8.940288571140895
Power Bank,1526,1373.4,Decrease 10%,58.75330289255294,69.05956319207951,36779.56761073814,32692.797215130446,-4086.770395607691,-11.111523764663618
Wireless Headphones,2712,2440.8,Decrease 10%,1.3481077643184323,25.73367645546592,1633.9066103539399,24210.24280930234,22576.3361989484,1381.739694048846
Power Bank,1612,1450.8,Decrease 10%,19.406126313393976,35.03305235370532,13817.161935136512,19296.20523642089,5479.043301284379,39.65389800745826
Phone Case,503,528.15,Increase 5%,87.59219433792207,79.65461887663946,26540.434884390386,26138.663184369238,-401.7717000211487,-1.513809784094565
Mechanical Keyboard,3741,3553.95,Decrease 5%,66.51712976718412,80.13297334522528,109154.60994794914,116509.33659529028,7354.726647341144,6.737898335991745
Gaming Mouse,1285,1156.5,Decrease 10%,54.94146339735579,68.43076686374367,27745.439015664673,25764.18372419949,-1981.2552914651824,-7.140832373733912
Gaming Mouse,1274,1146.6000000000001,Decrease 10%,41.67138685785071,50.256110164646,20585.66510777825,18423.88998635923,-2161.775121419021,-10.501361554755881
Laptop Stand,891,801.9,Decrease 10%,66.24216338578229,81.698894119265,23250.999348409583,21396.9403698355,-1854.0589785740813,-7.974104470915582
Wireless Headphones,2287,2401.35,Increase 5%,64.79772399789341,37.53468944736899,50995.80878634212,33831.89233338604,-17163.91645295608,-33.65750413895383
Smart Watch,4868,4624.599999999999,Decrease 5%,64.63839185849132,89.56614284587305,120744.51599166178,145509.1556674053,24764.63967574353,20.50994984936102
Bluetooth Speaker,1871,1964.5500000000002,Increase 5%,42.93469594644029,28.752056283272132,31385.262736847853,23707.508008372042,-7677.754728475811,-24.46292960122888
Laptop Stand,857,814.15,Decrease 5%,55.993279368383426,65.87706854356207,17749.869559777548,18060.19834121754,310.3287814399919,1.7483440111763904
Smart Watch,4585,4126.5,Decrease 10%,4.118304681138731,24.929746592120875,6527.512919604889,28083.359536024167,21555.84661641928,330.23062354542316
Bluetooth Speaker,1769,1945.9,Increase 10%,39.094693502331026,20.736293131220393,24590.562212966215,16711.378634450517,-7879.183578515698,-32.04149425408879
