date,product_id,product_name,category,current_price,competitor_price,cost,day_of_week,month,is_weekend,is_festival,inventory_level,customer_segment,demand,revenue,profit,price_difference,discount_percentage,price_ratio,profit_margin,rolling_avg_demand,inventory_level_encoded,customer_segment_encoded,category_encoded
2025-07-02,P001,Wireless Headphones,Electronics,2728,2489,1500,2,7,0,0,Medium,Standard,0,0,0,-239,-9.6,1.096,45.01,0.0,2,2,1
2025-07-04,P001,Wireless Headphones,Electronics,2276,2509,1500,4,7,0,0,Medium,Standard,72,163872,55872,233,9.29,0.907,34.09,36.0,2,2,1
2025-07-05,P001,Wireless Headphones,Electronics,2635,2343,1500,5,7,1,0,High,Standard,0,0,0,-292,-12.46,1.125,43.07,24.0,0,2,1
2025-07-07,P001,Wireless Headphones,Electronics,2353,2018,1500,0,7,0,0,Low,Standard,0,0,0,-335,-16.6,1.166,36.25,18.0,1,2,1
2025-07-08,P001,Wireless Headphones,Electronics,2564,2525,1500,1,7,0,0,Low,Standard,48,123072,51072,-39,-1.54,1.015,41.5,24.0,1,2,1
2025-07-08,P001,Wireless Headphones,Electronics,2317,2661,1500,1,7,0,0,Medium,Standard,52,120484,42484,344,12.93,0.871,35.26,28.67,2,2,1
2025-07-09,P001,Wireless Headphones,Electronics,2363,2233,1500,2,7,0,0,Medium,Premium,31,73253,26753,-130,-5.82,1.058,36.52,29.0,2,1,1
2025-07-09,P001,Wireless Headphones,Electronics,2483,2334,1500,2,7,0,0,Medium,Budget,15,37245,14745,-149,-6.38,1.064,39.59,31.14,2,0,1
2025-07-09,P001,Wireless Headphones,Electronics,2635,2963,1500,2,7,0,0,Low,Premium,62,163370,70370,328,11.07,0.889,43.07,29.71,1,1,1
2025-07-11,P001,Wireless Headphones,Electronics,2642,2649,1500,4,7,0,0,Medium,Budget,47,124174,53674,7,0.26,0.997,43.22,36.43,2,0,1
2025-07-12,P001,Wireless Headphones,Electronics,2399,2480,1500,5,7,1,0,Low,Budget,54,129546,48546,81,3.27,0.967,37.47,44.14,1,0,1
2025-07-12,P001,Wireless Headphones,Electronics,2359,2229,1500,5,7,1,0,Medium,Budget,35,82565,30065,-130,-5.83,1.058,36.41,42.29,2,0,1
2025-07-13,P001,Wireless Headphones,Electronics,2557,2292,1500,6,7,1,0,Medium,Premium,42,107394,44394,-265,-11.56,1.116,41.34,40.86,2,1,1
2025-07-13,P001,Wireless Headphones,Electronics,2656,2869,1500,6,7,1,0,High,Premium,58,154048,67048,213,7.42,0.926,43.52,44.71,0,1,1
2025-07-14,P001,Wireless Headphones,Electronics,2288,2076,1500,0,7,0,0,Medium,Standard,11,25168,8668,-212,-10.21,1.102,34.44,44.14,2,2,1
2025-07-14,P001,Wireless Headphones,Electronics,2401,2141,1500,0,7,0,0,Medium,Standard,8,19208,7208,-260,-12.14,1.121,37.53,36.43,2,2,1
2025-07-15,P001,Wireless Headphones,Electronics,2376,2731,1500,1,7,0,0,Low,Budget,85,201960,74460,355,13.0,0.87,36.87,41.86,1,0,1
2025-07-16,P001,Wireless Headphones,Electronics,2579,2596,1500,2,7,0,0,Low,Standard,54,139266,58266,17,0.65,0.993,41.84,41.86,1,2,1
2025-07-16,P001,Wireless Headphones,Electronics,2692,3006,1500,2,7,0,0,High,Budget,59,158828,70328,314,10.45,0.896,44.28,45.29,0,0,1
2025-07-18,P001,Wireless Headphones,Electronics,2636,2599,1500,4,7,0,0,Medium,Standard,41,108076,46576,-37,-1.42,1.014,43.1,45.14,2,2,1
2025-07-18,P001,Wireless Headphones,Electronics,2401,2183,1500,4,7,0,0,Low,Premium,16,38416,14416,-218,-9.99,1.1,37.53,39.14,1,1,1
2025-07-19,P001,Wireless Headphones,Electronics,2275,2587,1500,5,7,1,0,High,Standard,84,191100,65100,312,12.06,0.879,34.07,49.57,0,2,1
2025-07-19,P001,Wireless Headphones,Electronics,2578,2591,1500,5,7,1,0,Low,Premium,61,157258,65758,13,0.5,0.995,41.82,57.14,1,1,1
2025-07-21,P001,Wireless Headphones,Electronics,2747,2601,1500,0,7,0,0,Medium,Premium,38,104386,47386,-146,-5.61,1.056,45.39,50.43,2,1,1
2025-07-21,P001,Wireless Headphones,Electronics,2537,2531,1500,0,7,0,0,Low,Standard,37,93869,38369,-6,-0.24,1.002,40.88,48.0,1,2,1
2025-07-21,P001,Wireless Headphones,Electronics,2314,2463,1500,0,7,0,0,High,Budget,41,94874,33374,149,6.05,0.94,35.18,45.43,0,0,1
2025-07-21,P001,Wireless Headphones,Electronics,2250,2560,1500,0,7,0,0,Medium,Premium,65,146250,48750,310,12.11,0.879,33.33,48.86,2,1,1
2025-07-22,P001,Wireless Headphones,Electronics,2639,2366,1500,1,7,0,0,Medium,Standard,0,0,0,-273,-11.54,1.115,43.16,46.57,2,2,1
2025-07-23,P001,Wireless Headphones,Electronics,2356,2049,1500,2,7,0,0,Medium,Budget,0,0,0,-307,-14.98,1.15,36.33,34.57,2,0,1
2025-07-23,P001,Wireless Headphones,Electronics,2365,2648,1500,2,7,0,0,Medium,Standard,80,189200,69200,283,10.69,0.893,36.58,37.29,2,2,1
2025-07-23,P001,Wireless Headphones,Electronics,2286,2570,1500,2,7,0,0,Low,Premium,73,166878,57378,284,11.05,0.889,34.38,42.29,1,1,1
2025-07-24,P001,Wireless Headphones,Electronics,2539,2555,1500,3,7,0,0,Medium,Standard,58,147262,60262,16,0.63,0.994,40.92,45.29,2,2,1
2025-07-24,P001,Wireless Headphones,Electronics,2475,2710,1500,3,7,0,0,Medium,Standard,62,153450,60450,235,8.67,0.913,39.39,48.29,2,2,1
2025-07-25,P001,Wireless Headphones,Electronics,2329,2663,1500,4,7,0,0,Low,Standard,72,167688,59688,334,12.54,0.875,35.59,49.29,1,2,1
2025-07-27,P001,Wireless Headphones,Electronics,2608,2303,1500,6,7,1,0,Low,Premium,15,39120,16620,-305,-13.24,1.132,42.48,51.43,1,1,1
2025-07-27,P001,Wireless Headphones,Electronics,2668,2642,1500,6,7,1,0,Medium,Budget,16,42688,18688,-26,-0.98,1.01,43.78,53.71,2,0,1
2025-07-28,P001,Wireless Headphones,Electronics,2312,2212,1500,0,7,0,0,Medium,Premium,39,90168,31668,-100,-4.52,1.045,35.12,47.86,2,1,1
2025-07-28,P001,Wireless Headphones,Electronics,2256,2312,1500,0,7,0,0,Medium,Standard,25,56400,18900,56,2.42,0.976,33.51,41.0,2,2,1
2025-07-29,P001,Wireless Headphones,Electronics,2532,2419,1500,1,7,0,0,Medium,Budget,12,30384,12384,-113,-4.67,1.047,40.76,34.43,2,0,1
2025-07-30,P001,Wireless Headphones,Electronics,2697,2717,1500,2,7,0,0,High,Budget,49,132153,58653,20,0.74,0.993,44.38,32.57,0,0,1
2025-07-30,P001,Wireless Headphones,Electronics,2302,2035,1500,2,7,0,0,High,Premium,10,23020,8020,-267,-13.12,1.131,34.84,23.71,0,1,1
2025-07-31,P001,Wireless Headphones,Electronics,2696,2311,1500,3,7,0,0,Medium,Standard,7,18872,8372,-385,-16.66,1.167,44.36,22.57,2,2,1
2025-08-01,P001,Wireless Headphones,Electronics,2420,2360,1500,4,8,0,0,High,Premium,24,58080,22080,-60,-2.54,1.025,38.02,23.71,0,1,1
2025-08-01,P001,Wireless Headphones,Electronics,2553,2558,1500,4,8,0,0,Low,Budget,47,119991,49491,5,0.2,0.998,41.25,24.86,1,0,1
2025-08-02,P001,Wireless Headphones,Electronics,2610,2670,1500,5,8,1,0,Medium,Budget,31,80910,34410,60,2.25,0.978,42.53,25.71,2,0,1
2025-08-03,P001,Wireless Headphones,Electronics,2524,2770,1500,6,8,1,0,Medium,Standard,55,138820,56320,246,8.88,0.911,40.57,31.86,2,2,1
2025-08-03,P001,Wireless Headphones,Electronics,2500,2642,1500,6,8,1,0,Low,Standard,67,167500,67000,142,5.37,0.946,40.0,34.43,1,2,1
2025-08-04,P001,Wireless Headphones,Electronics,2270,2606,1500,0,8,0,0,Medium,Budget,40,90800,30800,336,12.89,0.871,33.92,38.71,2,0,1
2025-08-05,P001,Wireless Headphones,Electronics,2568,2364,1500,1,8,0,0,High,Premium,15,38520,16020,-204,-8.63,1.086,41.59,39.86,0,1,1
2025-08-05,P001,Wireless Headphones,Electronics,2496,2755,1500,1,8,0,0,Medium,Standard,78,194688,77688,259,9.4,0.906,39.9,47.57,2,2,1
2025-08-06,P001,Wireless Headphones,Electronics,2557,2260,1500,2,8,0,0,Medium,Standard,26,66482,27482,-297,-13.14,1.131,41.34,44.57,2,2,1
2025-08-07,P001,Wireless Headphones,Electronics,2323,2329,1500,3,8,0,0,Medium,Premium,40,92920,32920,6,0.26,0.997,35.43,45.86,2,1,1
2025-08-07,P001,Wireless Headphones,Electronics,2630,2266,1500,3,8,0,0,High,Budget,0,0,0,-364,-16.06,1.161,42.97,38.0,0,0,1
2025-08-11,P001,Wireless Headphones,Electronics,2725,2948,1500,0,8,0,0,High,Standard,55,149875,67375,223,7.56,0.924,44.95,36.29,0,2,1
2025-08-12,P001,Wireless Headphones,Electronics,2742,2537,1500,1,8,0,0,Medium,Premium,10,27420,12420,-205,-8.08,1.081,45.3,32.0,2,1,1
2025-08-13,P001,Wireless Headphones,Electronics,2723,2712,1500,2,8,0,0,High,Premium,51,138873,62373,-11,-0.41,1.004,44.91,37.14,0,1,1
2025-08-14,P001,Wireless Headphones,Electronics,2712,2377,1500,3,8,0,0,High,Premium,10,27120,12120,-335,-14.09,1.141,44.69,27.43,0,1,1
2025-08-15,P001,Wireless Headphones,Electronics,2448,2329,1500,4,8,0,1,Medium,Standard,32,78336,30336,-119,-5.11,1.051,38.73,28.29,2,2,1
2025-08-17,P001,Wireless Headphones,Electronics,2513,2446,1500,6,8,1,0,Medium,Premium,45,113085,45585,-67,-2.74,1.027,40.31,29.0,2,1,1
2025-08-18,P001,Wireless Headphones,Electronics,2734,2392,1500,0,8,0,0,High,Budget,0,0,0,-342,-14.3,1.143,45.14,29.0,0,0,1
2025-08-20,P001,Wireless Headphones,Electronics,2511,2197,1500,2,8,0,0,High,Standard,0,0,0,-314,-14.29,1.143,40.26,21.14,0,2,1
2025-08-20,P001,Wireless Headphones,Electronics,2527,2694,1500,2,8,0,0,High,Premium,68,171836,69836,167,6.2,0.938,40.64,29.43,0,1,1
2025-08-22,P001,Wireless Headphones,Electronics,2635,2920,1500,4,8,0,0,Low,Standard,73,192355,82855,285,9.76,0.902,43.07,32.57,1,2,1
2025-08-23,P001,Wireless Headphones,Electronics,2290,2360,1500,5,8,1,0,Medium,Standard,78,178620,61620,70,2.97,0.97,34.5,42.29,2,2,1
2025-08-23,P001,Wireless Headphones,Electronics,2386,2174,1500,5,8,1,0,Low,Standard,19,45334,16834,-212,-9.75,1.098,37.13,40.43,1,2,1
2025-08-24,P001,Wireless Headphones,Electronics,2396,2543,1500,6,8,1,0,Medium,Standard,50,119800,44800,147,5.78,0.942,37.4,41.14,2,2,1
2025-08-25,P001,Wireless Headphones,Electronics,2481,2759,1500,0,8,0,0,Medium,Budget,48,119088,47088,278,10.08,0.899,39.54,48.0,2,0,1
2025-08-26,P001,Wireless Headphones,Electronics,2293,2247,1500,1,8,0,0,Medium,Standard,28,64204,22204,-46,-2.05,1.02,34.58,52.0,2,2,1
2025-08-27,P001,Wireless Headphones,Electronics,2724,2949,1500,2,8,0,0,Medium,Premium,54,147096,66096,225,7.63,0.924,44.93,50.0,2,1,1
2025-08-30,P001,Wireless Headphones,Electronics,2331,2377,1500,5,8,1,0,Medium,Budget,57,132867,47367,46,1.94,0.981,35.65,47.71,2,0,1
2025-08-31,P001,Wireless Headphones,Electronics,2632,2756,1500,6,8,1,0,High,Standard,63,165816,71316,124,4.5,0.955,43.01,45.57,0,2,1
